Date,Score,Threshold,Trade,Predicted_Up,Actual_Up,TA35_Return,Strategy_Return,Always_Up_Pred,Open_Gap_Pred,Dual_Return_Pred,Strategy_Equity,BuyHold_Equity
2026-01-28,0.07487743540444951,0.11649119876275081,0,1,0,-0.0071881796595966,0.0,1,1,1,1.0,0.9928118203404034
2026-01-29,-0.05983302079914421,0.11456847162305786,0,0,0,-0.0004195410672923,0.0,1,1,0,1.0,0.9923952950096774
2026-01-30,-0.1158875594153165,0.11445202558369862,0,0,1,0.0062329254285764,0.0,1,0,0,1.0,0.9985808208791428
2026-02-02,0.06070561637193013,0.11433557954433937,0,1,1,0.0114020386295574,0.0,1,0,1,1.0,1.009966677973542
2026-02-03,0.02949769632483072,0.11421913350498013,0,1,1,0.0174078610729704,0.0,1,1,1,1.0,1.0275480375920347
2026-02-04,-0.11147256405660907,0.11403723999055311,0,0,1,0.000169910748311,0.0,1,1,0,1.0,1.0277226290480275
2026-02-05,-0.07427486195843859,0.11382262273859221,0,0,0,-0.0197791050136997,0.0,1,0,1,1.0,1.007395195243131
2026-02-06,0.11845956727770544,0.11360800548663132,1,1,1,0.0031839485418456,0.0031839485418456,1,1,1,1.0031839485418457,1.0106026897060878
2026-02-09,0.08142304926840283,0.11410877907454008,0,1,1,0.0167576945953351,0.0,1,1,1,1.0031839485418457,1.0275380609374067
2026-02-10,0.0678176548957206,0.11389416182257918,0,1,1,0.0178893481917679,0.0,1,1,1,1.0031839485418457,1.04592004708981
2026-02-11,-0.024101846822740525,0.11367954457061828,0,0,0,-0.0078860704857792,0.0,1,0,1,1.0031839485418457,1.0376718478759703
2026-02-12,-0.10894731230059573,0.11346492731865739,0,0,1,0.0072493029516393,0.0,1,1,0,1.0031839485418457,1.0451942454656107
2026-02-13,-0.026128599376110083,0.11233308223037633,0,0,0,-0.0048537665610324,0.0,1,0,0,1.0031839485418457,1.0401211165871862
2026-02-17,0.026882036603260533,0.1112012371420953,0,1,1,0.006253866702476,0.0,1,1,1,1.0031839485418457,1.0466258954047531
2026-02-18,0.024664596036470202,0.11006939205381426,0,1,1,0.0086623930605531,0.0,1,1,0,1.0031839485418457,1.0556921802981025
2026-02-19,-0.06896562884297507,0.10403829813985696,0,0,0,-0.0052591166290619,0.0,1,0,0,1.0031839485418457,1.0501401719975263
2026-02-20,-0.020206725736374293,0.0955575798130617,0,0,1,0.0051586670118444,0.0,1,1,1,1.0031839485418457,1.0555574954606226
2026-02-23,-0.022532404544307345,0.08707686148626625,0,0,1,0.0026842402489539,0.0,1,0,1,1.0031839485418457,1.0583908653750231
2026-02-24,0.024813702685657503,0.08076848788200748,0,1,0,-0.0175493169505146,0.0,1,1,1,1.0031839485418457,1.0398168286210274
2026-02-25,-0.06052375290088433,0.07880480372282146,0,0,0,-0.0014631806188535,0.0,1,1,0,1.0031839485418457,1.0382953887902313
2026-02-26,-0.027048003323819913,0.07684111956363548,0,0,0,-0.0147253116817601,0.0,1,0,0,1.0031839485418457,1.0230061655725609
2026-02-27,-0.025163908868787624,0.07487743540444951,0,0,1,0.0065242832065532,0.0,1,0,0,1.0031839485418457,1.0296805475188064
2026-03-02,0.18881378719565814,0.07299261139491352,1,1,1,0.0460570299101823,0.0460570299101823,1,1,1,1.0493876216652522,1.077104575293813
2026-03-04,0.107549677516223,0.07749568095003083,1,1,0,-0.0020423758249391,-0.0020423758249391,1,0,1,1.047244377755773,1.0749047229483017
2026-03-05,0.018375849728291233,0.0840357120931847,0,1,1,0.0107270145347218,0.0,1,0,0,1.047244377755773,1.0864352415348093
2026-03-06,-0.02296893537308836,0.08011392649561214,0,0,1,0.0001767713290679,0.0,1,1,0,1.047244377755773,1.0866272921364015
2026-03-09,0.0970944166060398,0.07815024233642617,1,1,0,-0.0297611943039194,-0.0297611943039194,1,0,1,1.0160771343456962,1.0542879661591882
2026-03-10,-0.019684470148316292,0.08455732273593015,0,0,0,-0.0092381867130981,0.0,1,1,0,1.0160771343456962,1.0445482570784372
2026-03-11,0.010852704402389383,0.08076848788200748,0,1,1,0.0056948832011689,0.0,1,0,0,1.0160771343456962,1.0504968374004835
2026-03-12,-0.07467603187585724,0.07880480372282146,0,0,0,-0.015587085867867,0.0,1,0,0,1.0160771343456962,1.0341226529919996
2026-03-13,0.014319389573452884,0.07684111956363548,0,1,1,0.0075756662172559,0.0,1,0,1,1.0160771343456962,1.0419568210387702
2026-03-16,0.11899852188238094,0.07487743540444951,1,1,0,-0.0001292614384403,-0.0001292614384403,1,1,1,1.0159457947537445,1.04182213620129
2026-03-17,0.0663560317994947,0.0794593651092168,0,1,1,0.0156665964414992,0.0,1,0,1,1.0159457947537445,1.0581439431729764
2026-03-18,-0.018083047596902595,0.07749568095003083,0,0,1,0.0124054798136938,0.0,1,1,1,1.0159457947537445,1.0712707264999912
2026-03-19,0.1127687310780782,0.0755319967908448,1,1,1,0.0023096032464826,0.0023096032464826,1,0,1,1.0182922264595582,1.0737449368477774
2026-03-20,-0.19691918391118707,0.08011392649561214,0,0,1,0.0020510890748728,0.0,1,1,0,1.0182922264595582,1.075947283356946
2026-03-23,0.0955482874593169,0.07815024233642617,1,1,1,0.0009898327715782,0.0009898327715782,1,0,1,1.0193001654763512,1.0770122912385032
2026-03-24,0.05433532766609353,0.08424809690658558,0,1,0,-0.0117226669877933,0.0,1,0,1,1.0193001654763512,1.064386834806554
2026-03-25,-0.015717530560331282,0.08076848788200748,0,0,1,0.0097480732324,0.0,1,1,1,1.0193001654763512,1.0747625556198508
2026-03-26,-0.028053551218541403,0.07880480372282146,0,0,0,-0.0109674619585017,0.0,1,0,0,1.0193001654763512,1.0629751381766679
2026-03-27,-0.13887091220300377,0.07684111956363548,0,0,0,-0.0379483088330185,0.0,1,0,0,1.0193001654763512,1.0226370293513192
2026-03-30,-0.16615811701198602,0.07487743540444951,0,0,0,-0.0189140805634956,0.0,1,0,0,1.0193001654763512,1.0032947901909544
2026-03-31,0.15395685589468797,0.07299261139491352,1,1,1,0.0190027768317269,0.0190027768317269,1,0,1,1.0386696990454405,1.0223601771853874
2026-04-06,0.045747652252664674,0.07749568095003083,0,1,1,0.0364527044335096,0.0,1,1,0,1.0386696990454405,1.0596279705489169
2026-04-09,0.1309472561881229,0.0755319967908448,1,1,1,0.0263556184284545,0.0263556184284545,1,1,1,1.0660444813066798,1.087555121016822
